"idDienThoai";"ten";"url_img";"gia";"gia_cu";"gia_online";"ram";"rom";"mau_sac";"khuyen_mai";"url_installment";"cong_nghe_man_hinh";"do_phan_giai";"mau_man_hinh";"chuan_man_hinh";"cong_nghe_cam_ung";"man_hinh";"mat_kinh_man_hinh";"toc_do_cpu";"so_nhan";"chipset";"gpu";"cam_bien";"the_nho_ngoai";"dung_luong_the_nho_toi_da";"dung_luong_danh_ba";"bo_nho_con_lai";"kich_thuoc";"trong_luong";"kieu_dang";"chat_lieu";"chong_nuoc";"loai_pin";"cong_nghe_pin";"dung_luong_pin";"thao_roi_pin";"thoi_gian_cho";"thoi_gian_dam_thoai";"thoi_gian_sac";"sac_nhanh";"ket_noi_usb";"cong_ket_noi_khac";"cong_sac";"jack_in_out";"wifi";"gps";"bluetooth";"gprs";"edge";"loai_sim";"mang_2g";"mang_3g";"mang_4g";"khe_cam_sim";"nfc";"model_series";"he_dieu_hanh";"xem_phim";"nghe_nhac";"ghi_am";"fm_radio";"den_pin";"chuc_nang_khac";"thoi_gian_bao_hanh";"xuat_xu";"nam_san_xuat";"do_phan_giai_cam_truoc";"do_phan_giai_cam_sau";"thong_tin_khac";"quay_phim";"den_flash";"chup_anh_nang_cao";"video_call";"box";"choi_game";"ghi_chu"
"53";"OPPO A5s";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/2/28/637185057475713290_oppo-a5s-den-1.png";"3290000";"2365000";NULL;"3 GB";"32 GB";"Đen/Xanh/";"Tặng 100 kWh điện trị giá 200,000đ
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 229,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/oppo-a5s/484646/tra-gop";"LCD";"720 x 1520 Pixels";"16 triệu màu";"HD +";NULL;"6.2 inches";"Corning Gorilla Glass 3";"2.3 GHz";"8";"MT6765 (P35)";"IMG GE8320";"Có";"Micro SD";"256 GB";"Không giới hạn";"Đang cập nhật";"155.9 x 75.4 x 8.2 mm";"170g (Bao gồm pin)";"Nguyên Khối";"Nhựa";"Không";"Li-Ion";NULL;"4230 mAh";"Không";NULL;NULL;NULL;"Không";NULL;NULL;"Micro USB";"3.5 mm";"802.11 b/g/n, 2.4G";"Có";"Bluetooth 4.2";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";NULL;NULL;"Có";"Có";"Không";"Không";"Có";"Đang cập nhật";"12 Tháng";"Trung Quốc";"2019";"8.0 MP";"13.0 MP + 2.0 MP";"Làm đẹp , Chụp ngược sáng..v.v.";"HD";"Có";"Chụp ảnh làm đẹp bằng trí tuệ nhân tạo,  xóa phông";NULL;"Sạc, Sách hướng dẫn, Cáp, Cây lấy sim, Ốp lưng

";NULL;"không"
"54";"Oppo A9 2020";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/2/28/637185077783442628_oppo-a9-xanh-1.png";"5490000";"4818000";"6990000";"8 GB";"128 GB";"Xanh/Tím/Trắng/";"Giá đặc biệt đến 21/06: 5,490,000đ
Trả góp 0%
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 369,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/oppo-a9-2020/509294/tra-gop";"TFT LCD";"720 x 1600 Pixels";"16 Triệu";"HD +";NULL;"6.5 inchs";"Corning Gorilla Glass 3";"8 nhân, tối đa 2.0GHz";"8";"Qualcomm Snapdragon 665";"Adreno 610";"Đang cập nhật";"Micro SD";"256 GB";"Không giới hạn";"Đang cập nhật";"163.6 x 75.6 x 9.1 mm";"195g";"Nguyên Khối";"Nhựa";"Không";"Li-Po";NULL;"5000mAh";"Không";NULL;NULL;NULL;"Đang cập nhật";NULL;NULL;"Type-C";"3.5 mm";"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Wi-Fi hotspot";"Có";"Bluetooth 5.0";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Đang cập nhật";"OPPO A";NULL;"Có";"Có";"Có";"Có";"Có";"Mở khóa bằng vân tay, Mở khóa bằng khuôn mặt";"12 Tháng";"Trung Quốc";"2019";"16.0 MP";"48 MP, 8 MP + 2MP + 2MP ( 4 camera )";"Tự động lấy nét, Quay video Full HD, Chế độ làm đẹp, Selfie ngược sáng HDR, Chụp ảnh xoá phông, Công nghệ Selfie A.I Beauty, Sticker AR (biểu tượng thực tế ảo), Flash màn hình, Panorama, Quay video HD";"Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps, Quay phim 4K 2160p@30fps";"Có";"Hiệu ứng AR Stickers, A.I Camera, Chế độ chụp ban đêm (ánh sáng yếu), Chế độ Time-Lapse, Chế độ Slow Motion, Chụp ảnh xóa phông, Chụp bằng cử chỉ, Chế độ làm đẹp, Google Lens, Chụp hình góc siêu rộng,";NULL;;NULL;"không"
"55";"OPPO A92";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/5/25/637259998715264902_oppo-a92-den-1.png";"6990000";"5797000";NULL;"8 GB";"128 GB";"Đen/Trắng/";"Trả góp 0%
Giảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 369,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/oppo-a92/571528/tra-gop";"TFT LCD";"1080 x 2400 Pixels";"16 triệu màu";"Full HD +";NULL;"6.5 inchs";"Corning Gorilla Glass 3";"4 nhân 2.0 GHz & 4 nhân 1.8 GHz";"8";"Snapdragon 665 8 nhân";"Adreno 610";"Cảm biến tiệm cận, Cảm biến ánh sáng, Cảm biến gia tốc kế";"MicroSD";"256 GB";"Không giới hạn";"Đang cập nhật";"Dài 162 mm - Ngang 75.5 mm - Dày 8.9 mm";"192 g";"Nguyên Khối";"Khung & Mặt lưng nhựa";"Đang cập nhật";"Li-Po";NULL;"5000 mAh";"Không";NULL;NULL;NULL;"Đang cập nhật";NULL;NULL;"USB Type-C";"3.5 mm";"Wi-Fi 802.11 a/b/g/n/ac, DLNA, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"v5.0";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Đang cập nhật";"OPPO A";NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"12 Tháng";"Trung Quốc";"2020";"16.0 MP";"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP";"Làm đẹp (Selfie A.I Beauty), Quay video HD, Nhận diện khuôn mặt, Làm đẹp (Beautify), Quay video Full HD, Tự động lấy nét (AF)";"Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps";"Có";"A.I Camera, Trôi nhanh thời gian, Quay chậm, Xoá phông, Chống rung điện tử kỹ thuật số, Làm đẹp, Góc siêu rộng, Tự động lấy nét , Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh, Chuyên nghiệp";NULL;"Máy, Sạc, Cáp, Tai nghe, Ốp lưng, cây lấy sim, sách hướng dẫn sử dụng
";NULL;"không"
"56";"Oppo A31 6GB-128GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/2/28/637184863247061350_oppo-a31-den-1.png";"4990000";"4180000";NULL;"6 GB";"128 GB";"Đen/Trắng/";"Trả góp 0%
Giảm ngay 300,000đ (đã trừ vào giá)
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 369,000đ.
 Xem chi tiết";"https:/dien-thoai/oppo-a31-6gb-128gb";"TFT LCD";"720 x 1600 Pixels";"16 triệu màu";"HD +";NULL;"6.5 inchs";"Corning Gorilla Glass 3+";"2.3 GHz";"8";"MediaTek Helio P35 8 nhân";"PowerVR GE8320";"Cảm biến tiệm cận, Cảm biến ánh sáng, Cảm biến gia tốc kế";"MicroSD";"256 GB";"Không giới hạn";"Đang cập nhật";"Đang cập nhật";"g";"Nguyên Khối";"Khung & Mặt lưng nhựa";"Không";"Li-Po";NULL;"4230 mAh";"Không";NULL;NULL;NULL;"Đang cập nhật";NULL;NULL;"Micro USB";"3.5mm";"2.4G/5.1G/5.8G, 802.11 a/b/g/n/ac";"BDS, A-GPS, GLONASS";"LE, A2DP, v5.0";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Đang cập nhật";"OPPO A";NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"12 Tháng";"Trung Quốc";"2020";"8.0 MP";"12Mp + 2Mp + 2Mp";"Tự động lấy nét (AF), Xoá phông, Làm đẹp (Selfie A.I Beauty), Nhãn dán (AR Stickers), Toàn cảnh (Panorama), Quay video HD, Nhận diện khuôn mặt, Quay video Full HD";"Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps, Quay phim 4K 2160p@30fps";"Có";"A.I Camera, Xoá phông, Làm đẹp, Tự động lấy nét (AF), Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh (Panorama), Chuyên nghiệp (Pro)";NULL;"Máy, cáp, sạc, ốp lưng, sách hướng dẫn, que sim
";NULL;"không"
"57";"Oppo Reno";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/5/28/636946617688640554_oppo-reno-xanh-1.png";"7990000";"6325000";NULL;"6 GB";"256 GB";"Green/Black/";"Trả góp 0%
Giảm ngay 5,000,000đ (đã trừ vào giá)
Tặng thêm 250 kWh điện trị giá 500,000đ
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiết";"https://fptshop.com.vn/dien-thoai/oppo-reno/478673/tra-gop";"AMOLED";"1080 x 2340 Pixels";"16 Triệu";"Full HD +";NULL;"6.4 inches";"Corning Gorilla Glass 6";"2.2 GHz";"8";"Qualcomm® SnapdragonTM 710";"Adreno 616";"Có";"Không";"Đang cập nhật";"Không giới hạn";"Đang cập nhật";"156.6 x 74.3 x 9.0 mm";"185g (gồm Pin)";"Nguyên Khối";"Kính, kim loại";"Không";"Li-Ion";NULL;"3765 mAh";"Không";NULL;NULL;NULL;"Sạc Nhanh VOOC";NULL;NULL;"Type-C";"Đang cập nhật";"Có";"Có";"Có";"Không";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Có";"Oppo Reno";NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"24 Tháng";"Trung Quốc";"2019";"16.0 MP";"48 MP+ 5 MP";"Công nghệ làm đẹp AI, đèn hỗ trợ làm sáng gương mặt";"Có";"Có";"Chụp ảnh làm đẹp bằng trí tuệ nhân tạo";NULL;;NULL;"không"
"58";"Oppo Reno3 Pro 8GB-256GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/4/28/637236639632706709_reno-3-pro-den-1.png";"13990000";"12441000";NULL;"8 GB";"256 GB";"Đen/Trắng/";"Trả góp 0%
Tặng 500 kWh điện trị giá 1,000,000đ (đã trừ vào giá)
Tặng Tai nghe không dây OPPO Enco W31
Giảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtTặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 719,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/oppo-reno3-pro/559877/tra-gop";"Sunlight Super AMOLED";"1080 x 2400 Pixels";"16 triệu màu";"Full HD +";NULL;"6.4 inches";"Corning Gorilla Glass 5";"2 nhân 2.2 GHz & 6 nhân 2.0 GHz";"8";"Mediatek Helio P95 (12nm)";"IMG 9XM-HP8 970MHz";"Vân tay, la bàn, độ gần, gia tốc";"Micro SD";"256 GB";"Không giới hạn";"Đang cập nhật";"Dài 158.8 mm - Ngang 73.4 mm - Dày 8.1 mm";"175 g";"Nguyên Khối + Cảm ứng";"Đang cập nhật";"Không";"Li-Po";NULL;"4025 mAh";"Không";NULL;NULL;NULL;"Sạc Nhanh VOOC";NULL;NULL;"USB Type-C";"Đang cập nhật";"802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"Có";"5.0, A2DP, LE";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Đang cập nhật";"Oppo Reno";NULL;"Có";"Có";"Có";"Không";"Có";"Đang cập nhật";"12 Tháng";"Trung Quốc";"2020";"44 MP + 2 MP";"Chính 64 MP & Phụ 13 MP, 8 MP, 2 MP";"Flash màn hình, Quay video HD, Nhận diện khuôn mặt, Quay video Full HD, Tự động lấy nét, HDR, Xoá phông, Làm đẹp AI";"Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim 4K 2160p@30fps";"Có";"A.I Camera, Xoá phông, Làm đẹp, Góc rộng, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh, Chuyên nghiệp";NULL;"Máy, Sạc, Cáp, Tai Nghe, Ốp lưng, Que lấy sim, Sách hướng dẫn
";NULL;"không"
"59";"Oppo Reno3 8GB-128GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/4/28/637236780184025189_reno-3-den-1.png";"8490000";"7370000";NULL;"8 GB";"128 GB";"Đen/Trắng/Xanh/";"Trả góp 0%
Tặng 250 kWh điện trị giá 500,000đ (đã trừ vào giá)
Giảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtTặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 429,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/oppo-reno-3/529916/tra-gop";"AMOLED";"1080 x 2400 Pixels";"16 triệu màu";"Full HD +";NULL;"6.4 inches";"Corning Gorilla Glass 5";"2 nhân 2.2 GHz & 6 nhân 2.0 GHz";"8";"MediaTek Helio P90";"PowerVR GM 94446";"Vân tay, la bàn, độ gần, gia tốc";"Micro SD";"256 GB";"Không giới hạn";"Đang cập nhật";"Dài 160.2 mm - Ngang 73.3 mm - Dày 7.9 mm";"170 g";"Nguyên Khối + Cảm ứng";"Đang cập nhật";"Không";"Li-Po";NULL;"4025 mAh";"Không";NULL;NULL;NULL;"Sạc Nhanh VOOC";NULL;NULL;"USB Type-C";"Đang cập nhật";"802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"Có";"5.0, A2DP, LE";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Đang cập nhật";"Oppo Reno";NULL;"Có";"Có";"Có";"Không";"Có";"Đang cập nhật";"12 Tháng";"Trung Quốc";"2020";"44 MP";"Chính 48 MP & Phụ 13 MP, 8 MP, 2 MP";"Flash màn hình, Quay video HD, Nhận diện khuôn mặt, Quay video Full HD, Tự động lấy nét, HDR, Xoá phông, Làm đẹp AI";"Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim 4K 2160p@30fps";"Có";"A.I Camera, Xoá phông, Làm đẹp, Góc rộng, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Toàn cảnh, Chuyên nghiệp";NULL;"Máy, Cáp, Sạc, Ốp lưng, tai nghe, Sách hướng dẫn, Que lấy sim
";NULL;"không"
"60";"Xiaomi Redmi 8A 2GB - 32GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/10/21/637072701542091596_xiaomi-redmi-8a-den-1.png";"2290000";"1804000";NULL;"2 GB";"32 GB";"Đen/Xanh/";"Bảo hành 18 tháng
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiết";"https://fptshop.com.vn/dien-thoai/xiaomi-redmi-8a/517585/tra-gop";"IPS";"720 x 1520 Pixels";"16 triệu màu";"HD +";NULL;"6.22 inches";"Đang cập nhật";"2.0Ghz";"Octa-Core";"Snapdragon 439";"Adreno 505";"Có";"Micro SD";"256 GB";"Không giới hạn";"256GB";"156.3 x 75.4 x 9.4 mm";"190 g";"Nguyên Khối";"Đang cập nhật";"Không";"Li-Po";NULL;"5000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"Type-C";"3.5mm";"802.11 b/g/n, Wi-Fi hotspot, Wi-Fi direct";"GPS, A-GPS, GLONASS, BDS";"Bluetooth 4.2";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"3 ( 2 sim nano+thẻ nhớ micro SD)";"Đang cập nhật";"Không";NULL;"Có";"Có";"Có";"Không";"Có";"Đang cập nhật";"18 Tháng";"Trung Quốc";"2019";"8.0 MP";"12.0 MP";"HDR";"1080p@30fps";"Có";"HDR";NULL;"không";NULL;"không"
"61";"Xiaomi Redmi 7 2GB-16GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/3/22/636888638313721946_xiaomi-redmi-7-den-1.png";"2090000";"1738000";NULL;"2 GB";"16 GB";"Đen/";"Bảo hành 18 tháng
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiết";"https://fptshop.com.vn/dien-thoai/xiaomi-redmi-7-2gb-16gb/472483/tra-gop";"IPS LCD";"720 x 1520 Pixels";"16 triệu màu";"HD+";NULL;"6.26 inches";"Corning Gorilla Glass 5";"1.8 GHz";"8";"Qualcomm Snapdragon 632";"Adreno 506";"Có";"MicroSD";"512 GB";"Không giới hạn";"Đang cập nhật";"158.7 x 75.6 x 8.5 mm";"180 g";"Nguyên Khối";"Nhựa";"Không";"Li-Po";NULL;"4000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"Micro USB";"3.5 mm";"802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot";"BDS, A-GPS, GLONASS";"v4.2, A2DP, LE";"Không";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";NULL;NULL;"Có";"Có";"Có";"Có";"Có";"Mở khóa bằng vân tay, chặn cuộc gọi, chặn tin nhắn";"18 Tháng";"Trung Quốc";"2019";"8.0 MP";"12.0 MP + 2.0 MP";"Tự động lấy nét";"FullHD 1080p@30fps";"Có";"Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama";NULL;"Hộp, máy, cáp sạc, củ sạc, sách hướng dẫn, ốp lưng
";NULL;"không"
"62";"Xiaomi Redmi 8 4GB-64GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/9/637193435371567572_redmi9-xam-1.png";"2990000";"2486000";NULL;"4 GB";"64 GB";"Đen/Xanh/";"Bảo hành 18 tháng
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiết";"https:/dien-thoai/xiaomi-redmi-8-4gb-64gb";"IPS LCD";"720 x 1520 Pixels";"16 triệu màu";"HD +";NULL;"6.22 inches";"Corning Gorilla Glass 5";"1.95 GHz";"8";"Snapdragon 439";"Adreno 505";"Vân tay, gia tốc kế, độ gần, la bàn";"Micro SD";"512 GB";"Không giới hạn";"Đang cập nhật";"Dài 156.5 mm - Ngang 75.4 mm - Dày 9.4 mm";"190 g";"Thanh (thẳng) + cảm ứng";"Nhựa";"Không";"Li-Po";NULL;"5000 mAh";"Không";NULL;NULL;NULL;"Sạc nhanh tiêu chuẩn 10W";NULL;NULL;"USB Type-C";"3.5 mm";"802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot";"A-GPS, GLONASS, BDS";"Bluetooth v4.2, A2DP, LE";"Có";NULL;"2 SIM Nano (SIM 2 chung khe thẻ nhớ)";NULL;NULL;NULL;"2";"Không";"Redmi 8";NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"18 Tháng";"Trung Quốc";"2019";"8.0 MP";"12.0 MP + 2.0 MP";"Làm đẹp AI 4.0, Chế độ chân dung AI, HDR, Đèn flash màn hình, Hẹn giờ chụp selfie, Nhận dạng khuôn mặt";"HD 720p@30fps, FullHD 1080p@30fps";"Có";"Tự động lấy nét theo pha, HDR, Chế độ chân dung AI, Nhận dạng khuôn mặt, Làm đẹp AI 4.0, Nhận dạng cảnh AI";NULL;"Máy, Củ sạc, Dây sạc, Ốp lưng, Sách hướng dẫn

";NULL;"không"
"63";"Xiaomi Redmi 8 3GB-32GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/9/637193435371567572_redmi9-xam-1.png";"2690000";"2068000";NULL;"3 GB";"32 GB";"Đen/Xanh/Đỏ/";"Bảo hành 18 tháng
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiết";"https:/dien-thoai/xiaomi-redmi-8-4gb-64gb";"IPS LCD";"720 x 1520 Pixels";"16 triệu màu";"HD +";NULL;"6.22 inches";"Corning Gorilla Glass 5";"1.95 GHz";"8";"Snapdragon 439";"Adreno 505";"Vân tay, gia tốc kế, độ gần, la bàn";"Micro SD";"512 GB";"Không giới hạn";"Đang cập nhật";"Dài 156.5 mm - Ngang 75.4 mm - Dày 9.4 mm";"190 g";"Thanh (thẳng) + cảm ứng";"Nhựa";"Không";"Li-Po";NULL;"5000 mAh";"Không";NULL;NULL;NULL;"Sạc nhanh tiêu chuẩn 10W";NULL;NULL;"USB Type-C";"3.5 mm";"802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot";"A-GPS, GLONASS, BDS";"Bluetooth v4.2, A2DP, LE";"Có";NULL;"2 SIM Nano (SIM 2 chung khe thẻ nhớ)";NULL;NULL;NULL;"2";"Không";"Redmi 8";NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"18 Tháng";"Trung Quốc";"2019";"8.0 MP";"12.0 MP + 2.0 MP";"Làm đẹp AI 4.0, Chế độ chân dung AI, HDR, Đèn flash màn hình, Hẹn giờ chụp selfie, Nhận dạng khuôn mặt";"HD 720p@30fps, FullHD 1080p@30fps";"Có";"Tự động lấy nét theo pha, HDR, Chế độ chân dung AI, Nhận dạng khuôn mặt, Làm đẹp AI 4.0, Nhận dạng cảnh AI";NULL;"Máy, Củ sạc, Dây sạc, Ốp lưng, Sách hướng dẫn
";NULL;"không"
"64";"Xiaomi Redmi 9 3GB-32GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/6/13/637276369083465913_xiaomi-redmi-9-xam-1.png";"3590000";"None";NULL;"3 GB";"32 GB";"Xám/Tím/Xanh/";;"không";"IPS LCD";"1080 x 2340 Pixels";"16 triệu màu";"Full HD +";NULL;"6.53 inchs";"Corning Gorilla Glass 3";"2.0GHz";"8";"MediaTek Helio G80";"Mail -G52 MC2";"Vân tay, gia tốc kế, độ gần, la bàn";"Micro SD";"512 GB";"Tùy bộ nhớ";"Đang cập nhật";"Dài 163.32 mm - Ngang 77.01 mm - Dày 9.1 mm";"198 g";"Nguyên Khối + Cảm ứng";"Nhựa";"Không";"Li-Po";NULL;"5020mAh";"Không";NULL;NULL;NULL;"Sạc nhanh 18W";NULL;NULL;"USB Type-C";"3.5mm";"802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot";"Có";"Bluetooth 5.0";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2 khe sim + 1 khe thẻ nhớ";"Không";"Redmi Note";NULL;"Có";"Có";"Có";"Có";"Có";"Cảm biến vân tay mặt lưng, Mở khóa khuôn mặt";"12 Tháng";"Trung Quốc";"2020";"8 MP, F/2.0";"13.0 MP + 8.0 MP + 5.0 MP + 2.0 MP";"Chế độ chụp chân dung, Chế độ làm đẹp, Xóa phông";"Quay phim HD 720p@24fps, Quay phim FullHD 1080p@30fps";"Có";"AI Camera, Tự động lấy nét, Làm đẹp, Xóa phông chân dung, Chụp hiệu ứng kính vạn hoa, Chụp góc siêu rộng, Chụp hình marco";NULL;"không";NULL;"không"
"65";"Xiaomi Redmi Note 7 64GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/3/21/636887567190398486_xiaomi-redmi-note-7-den-1.png";"3690000";"2728000";NULL;"4 GB";"64 GB";"Đen/Xanh/";"Trả góp 0%
Bảo hành 18 tháng
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiết";"https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-7/472181/tra-gop";"IPS";"1080 x 2340 Pixels";"16 Triệu";"Full HD +";NULL;"6.3 inches";"Corning Gorilla Glass 5";"2.2 GHz";"8";"Snap Dragon 660";"Adreno 512";"có";"Micro SD";"Đang cập nhật";"Không giới hạn";"Đang cập nhật";"159.2 x 75.2 x 8.1 mm";"186 G";"Nguyên khối, mặt kính cong 2.5D";"Nhựa (mặt kính cong 2,5D)";"Không";"Li-polymer";NULL;"4000 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"Type-C";"3.5 mm";"802.11 a/b/g/n/ac";"GPS/AGPS/GLONASS/Beidou";"Bluetooth 5.0";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";NULL;NULL;"Có";"Có";"Có";"Không";"Có";"Đang cập nhật";"18 Tháng";"Trung Quốc";"2019";"13.0 MP";"48 MP+ 5 MP";"Mở khóa bằng gương mặt";"1080p@30fps";"Có";"HDR,chụp ảnh 48 MP";NULL;;NULL;"không"
"66";"Xiaomi Redmi Note 8 4GB-128GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/10/7/637060418361864075_xiaomi-redmi-note-8-den-1.png";"4790000";"4147000";"4990000";"4 GB";"128 GB";"Đen/Xanh/";"Giá đặc biệt đến 21/06: 4,790,000đ
Trả góp 0%
Bảo hành 18 tháng
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiết";"https:/dien-thoai/xiaomi-redmi-note-8";"IPS LCD";"1080 x 2340 Pixels";"16 Triệu";"Full HD+";NULL;"6.3 inches";"Corning Gorilla Glass 5";"2.0 Ghz";"Octa-Core";"Qualcomm® Snapdragon™ 665";"Adreno 610";"Cảm biến tiệm cận, Cảm biến ánh sáng môi trường, Cảm biến gia tốc, Con quay hồi chuyển, La bàn kỹ thuật số, Cảm biến vân tay";"Micro SD";"256 GB";"Không giới hạn";"Đang cập nhật";"158.3 x 75.3 x 8.4 mm";"190g";"Nguyên khối, màn hình giọt nước";"Khung kim loại + mặt lưng kính";"Không";"Li-Po";NULL;"4000 mAh";"Không";NULL;NULL;NULL;"Sạc nhanh tiêu chuẩn 10W";NULL;NULL;"USB Type-C";"3.5 mm";"802.11 a/b/g/n/ac, 2.4G/5G, Wifi Direct, Wifi hotspot";"AGPS+GLONASS+BDS";"5.0, A2DP, LE";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";"Redmi Note";NULL;"Có";"Có";"Có";"Có";"Có";"Đang cập nhật";"18 Tháng";"Trung Quốc";"2019";"13.0 MP";"48 MP+ 8 MP+ 2 MP+ 2 MP";"Làm đẹp, Hiệu chỉnh độ sáng màn hình, Phân tách cảnh AI, Nhận diện khuôn mặt, Bộ lọc, Hẹn giờ chụp selfie, Gương selfie, Vẫy tay selfie, Selfie toàn cảnh, Chế độ chân dung, Điều chỉnh độ mờ, Khung camera toàn màn hình";"Quay phim slow motion 720p@120fps/240fps, Quay phim slow motion 1080p@120fps, Quay phim 720p@30fps, Quay phim 1080p@30fps/60fps*, Quay phim 4K@30fps";"Có";"HD 48MP, góc siêu rộng, Làm đẹp, Chụp ảnh ổn định ban đêm, chân dung làm mờ bối cảnh, toàn cảnh, chuyên nghiệp, Hẹn giờ chụp ảnh, Thủy chuẩn, chụp ảnh liên tục, Nhận diện khuôn mặt, HDR, Camera sau AI nhận dạng cảnh, Camera macro";NULL;"Sạc, cáp, sách hướng dẫn, que sim, ốp lưng
";NULL;"không"
